Document,Dominant Topic,Probability,Original Text
2534,10,0.30364296,"innovation needs exchange to create new ideas 💡 our 20 research centers span the globe – from mexico to germany, hungary, and china. now, we warmly welcome our latest and super modern r&d center in kysuce, slovakia. together, we turn challenges into opportunities. therefore, the centers form a strong network and provide relevant impulses for innovation. 🌐 join our inauguration ceremony in kysuce virtually! "
2535,1,0.24885078,"premiere at  presents its innovative multi-material 3d printing systems – thanks to the innovative system concept, even material combinations made of ceramic and metal are possible. 🙌 visit us at booth 311 in hall a5 from june 27 to june 30. learn more about the turnkey production systems and intelligent automation solutions here: "
2536,11,0.223164,"🌱 growing together – even more! under this motto, our schaeffler partner days central and eastern europe south brought together trusted partners from 30 companies and nine countries. in sofia, we intensified the longtime relationships with our regional partners which are immensely valuable for us at schaeffler to understand and meet the needs in our international markets. plus, we also celebrated the 30th anniversary of schaeffler in bulgaria. it has truly been a great event. thank you all, and see you soon for the next edition of our schaeffler partner days. wepioneermotion certifiedschaefflerpartner schaefflerpartnerdays"
2537,10,0.23529543, 
2538,10,0.29436618,"ready for take-off! 🛫 our aerospace colleagues recently inaugurated their new office space in schweinfurt. the entire space has been redesigned in line with the visionary schaeffler new work concept and represents all facets of modern working life. what truly sets our new office apart is the incredible sense of collaboration, creativity, and employee empowerment that permeates every corner. we didnt just rely on a team of designers. we invited every single team member to play an active part in the planning process right from the start. the result? an atmosphere thats not just appealing but inspiring, sparking new ideas and fostering a deep sense of community. 🙌 learn more about our digital workplaces here: "
2539,10,0.18799058,today is the last day of schaeffler at : the last chance to come by and talk to our experts at our booth 311 in hall a5. 💬 more information here: 
2540,10,0.2762945,"pioneering spirit for innovation 💡 as early as the 1950s, dr.-ing. e.h. georg schaefflers idea of the cage-guided needle roller bearing provided an innovation that was to shape mobility and motion. further pioneering achievements followed in various areas of our company: automotive technologies, automotive aftermarket, and industrial have since been moving the world with various innovations. ⚙️ learn more about our history and our innovations: "
2541,11,0.28650197,"Innovation means progress.In   We have a very clear objective: face changes as challenges and opportunities.Our ""Route Map 2025"" makes it very clear which is the way to follow and what are the points at which we must focus to carry it out successful.Innovation is one of those important factors, as innovating implies moving and the movement involves progress.Therefore, in Schaeffler, enhancing creativity, we work to realize the technologies of the future and, in doing so, we create the basis of our innovations so that tomorrows world mobility is even better than it is today.Optime 5 Ex is a good example of this, Schaefflers technology more novel that controls ATEX areas without risks.An intelligent monitoring solution developed to work in potentially dangerous or explosive atmosphere that facilitates and improves the work of the operators in areas where, for security, access to workers is restricted.Wepioneermotion innovation KeepyouurmachinesRolling ConditionMonitoring Optime5Ex"
2542,10,0.3298255,"breaking news! , and convinced that this cooperation will start a beautiful journey where we can share our experience and know-how with them. as a global leader in e-mobility solutions we see a perfect match with pwr racing team, who designs from scratch their electric cars to respond to the challenges of the change in automotive industry. we cross fingers for their success in competing in formulas student races all over the world! wepioneermotion weareschaeffler whywerace"
2543,10,0.2888331,"💡💬 Innovation always arise in the exchange of different perspectives, which applies in particular to digital solutions and technologies.That is why we have brought our strategic partners   to Nuremberg and spoke in an exciting panel discussion about the future of the digital world of work: How do the latest technologies influence the digital transformation of companies?What does that mean for tomorrows working world?sounds interesting?Click here for the recording of the event livestream ⏩ "
2544,11,0.26066238,"A driverless bar and a humanoid robot- so nuedigital 🤖 was organized for the Nuremberg Digital Festival, our IT and digitization teams organized four events, each with a very different look behind the scenes: digital innovations, workhacks, the factory of the future and IT-Workspaces were on the program.Through the use of AR and VR, DIY programming applications and a virtual management, digital technology became tangible for visitors and enthusiastic and young.Wepioneermotion  "
2545,10,0.24701436,"💡 whats the best way to get to know schaefflerconsulting? participating in our open door event to get an impression! ✔️ thats exactly what twelve students and young professionals did. after a brief welcome in our nuremberg office, the group got right down to business, diving into the day-to-day work of our in-house consulting: they were challenged to work on a real case and apply the tools of our consulting areas performanceimprovement, transformation and changemanagement. together, they brainstormed and presented their results - with success! 🏆 during a cozy bbq, we had the opportunity to reflect on the day, socialize, and get to know each other better. 💪 our conclusion: overall, it was a successful day with great personalities, exciting conversations, and delicious food! 👨‍🍳 read more information about schaeffler consulting gmbh: "
2546,10,0.21036454,"Nora 9 has Stro \ (H \) m in the blood!Schaeffler is the proud partner of the Student Teams   🤝 40 Students of the Technical University of Nuremberg Georg Simon Ohm have completed their vehicle for the current season with teamwork, inventiveness and perseverance.Now Nora9 could be solemnly unveiled at the Schaeffler location in Herzogenaurach.We wish Strohm & Sons every success in the upcoming races!🏆 Schaeffler supports the team with components and know-how on the race track.Further information on the Fomula Student: "
2547,11,0.39885372,"beaming childrens eyes, closely examining the machines and products in our schaeffler plants – at our global familydays, children were able to explore the workplace of their mum or dad in detail. 👦👧 but there were still many other things to do such as bouncy castle, face painting, and music! as a global family business, we make every effort to achieve the best work-life balance possible with family-friendly rules. in all schaeffler regions, for example, conditions are available for remote working. however, we are particularly pleased to meet the families of our employees on occasions such as family days and to ensure an eventful day with a simple program! 🙌 weareschaeffler familiyday worklifebalance"
2548,11,0.27437434,"we were delighted to have deputy prime minister of singapore, mr. heng swee keat, visit us at our schaeffler hub for advanced research \(share\) at nanyang technological university in singapore! 🇸🇬 during the visit, the deputy prime minister was able to catch a glimpse into our application-driven research projects enabling transformation towards sustainable motion. our share program comprises a global research network with leading universities around the world. schaefflers locations on the university campus enable particularly intensive exchange and close cooperation. 🌏🤝 learn more: ☞ "
2549,11,0.25120494,"On the drivers day we want to honor everyone who keeps the world moving, whether it travels thousands of kilometers on the road to supply the country, whether driving vehicles daily to travel to your family or deliver goods in the four corners of Brazil.Congratulations to all drivers!Together we are pioneers in motion."
2550,11,0.17295177,Sustainability on the maximum!💚 The   has been completed with an 8000 panel solar panel capable of 3622.7 kWp and produces about 4 million kWh of energy a year.👏 Our company contributes another important development to climate protection and energy efficiency.Details: 
2551,11,0.22867164,CEOECHO for December 2022 Our monthly global ranking for the digital Medienecho of all DAX- and MDAX CEOs is now online atmeltwater.com Congratulations to the communication teams from: Top 5 Category: Digital Footprint 1. Oliver Blume \ (Volkswagen \) 2. Carsten Spohr \ (Lufthansa \) 3.   
2552,10,0.2522373,"there are new findings from sdg-echo.com, your automated benchmarking service on the visibility of sustainability topics and global brands. today, we are looking into sustainability issues within the electricity & utilities sector. "
2553,4,0.2926753,"ceo echo \(global\) results for april 2023 overall: 28% less ceo mentions total digital footprint: bernard arnault, lvmh ceo, dominates with 10% ceo echo coverage communication excellence: lego’s ceo, niels b. christiansen, takes the number 1 spot social excellence: henri poupart-lafarge, alstom’s ceo, wins first place responsibility excellence: peter goldschmidt, ceo of stada, has the highest number of mentions surrounding social responsibility investor excellence: christian sewing, ceo of deutsche bank, takes the number 1 spot for the financial echo want to know more: "
2554,10,0.24061988,"sustainability issues in april 2023 here is a highlight from our sdg-echo with the most critical issues linked to company brands and sustainability. we are focusing on an insight relating to sdg 5: gender equality \(total mentions: 56.574\). looking into april data, sdg-echo.com found that most negative mentions were related to the following 5 topics: demvoice1, resistanceunited, nike, gaa, gatewaypundit the negative mentions above were mainly connected to the following brands: nike \(16k\), anheuser-busch \(12k\), valentino \(2k\) would you like to receive fully customized information on your brands, markets and competitors? sign up to sdg.echo.com here or order the full dashboard functionality including customized monthly reports on your brands, markets and competitors. sustainability communications excellenceforum "
2555,11,0.27148417,CEO echo in June 2023: 44% Fewer Mountains of Dax and MDAX managers Footprint: DR.Mathias Döpfner \ (Springer \) dominates 11% of the entire CEO-echos Communicati on Excellence: BMW best contains content in editorial offices social excellence: Oliver Zipse \ (BMW \) with the best social media-echo responsibility excellence:Rolf Eberhard Buch \ (Vonovia \) With the best response to company Licher Responsibility Investor Excellence: Matt Hias Zachert \ (Lanxess \) With the best finance echo Further information can be found at: 
2556,4,0.28389356,"ceo echo \(global\) for june 2023: 5% less ceo mentions total digital footprint: bernard arnault, lvmh ceo, dominates with 12% ceo echo coverage communication excellence: møller maersk’s ceo, vincent clerc, takes the number 1 spot social excellence: aditya mittal, arcelormittal’s ceo, wins first place responsibility excellence: rolf eberhard buch, ceo of vonovia, has the highest number of mentions surrounding social responsibility investor excellence: r mupita, ceo of mtn group, takes the number 1 spot for the financial echo want to know more: "
2557,11,0.26652533,"day 1 of gulfoodmanufacturing is in full swing - and while the booth is busy with good conversations, we want to share some first impressions with you. will you be visiting us in dubai? were happy to welcome you at booth d1-4 in hall 1 - today and for the next two days. "
2558,11,0.23457266,"as every year, gulfoodmanufacturing is a great place to meet - we really enjoy hosting all visitors at our booth. today, we were especially happy to welcome tania bottled water company ltd. to discuss some details of the new highspeed water lines that will soon be implemented at their production site in saudi arabia. gulfoodmanufacturing solutionsbeyondtomorrow"
2559,11,0.23868455,"and the winner is... solutionsbeyondtomorrow 🏆 were pleased to say that we have just been awarded the gulfood manufacturing industry excellence award 2022 as ""sustainable company of the year"" - what an honor and great recognition of our ongoing efforts! "
2560,10,0.23351763,"we love being at gulfoodmanufacturing - and we think you do too. todays photos show it all. 💙 so dont miss stopping by our booth later today or tomorrow, if youre in the dubai area. youll get to see entire line concepts, details on an incredibly fast and efficient ergobloc and our complete solutions from the entire krones group. whats your favourite topic? solutionsbeyondtomorrow"
2561,1,0.23672,"what a pleasure it is to strengthen an existing partnership even more - were really happy about welcoming rafa water to our booth at gulfoodmanufacturing. and were looking forward to implementing several lines and a water treatment solution in saudi arabia for them - including two highspeed water lines with an output of 100,000 bhp each."
2562,10,0.24158505,whos up for some more (and last) impressions from dubai? on the last day of gulfoodmanufacturing there is still plenty of time for good conversations and technical deep talk. and the photos are really showing how much were enjoying the show! solutionsbeyondtomorrow
2563,11,0.26682362,"krones pacific in sydney has a new office! krones has been operating in australia, new zealand, and the neighbouring oceania islands for over fifty-five years and has, for the majority of this time, been represented by a local agency. after a decision was made by the krones group to strengthen a direct relationship with our customers in the broader oceania territory and to establish an official oceania krones footprint, the krones pacific and krones new zealand subsidiaries were established back in 2016. on 14 october 2022, krones pacifics new office finally opened! to celebrate and to open the offices, the krones pacific team were joined by pawinee ariyamongkolchai and thomas gerstl representing the asia pacific regional committee and were further supported by andrea paternieri from kosme, and our fellow team colleagues from krones new zealand, johannes du preez, and jens moehler. the celebration included speeches, followed by an official ribbon cutting and the handing over of a gift presented by the regional committee. it scores not only with its modern equipment and warm atmosphere, but also with a great view of the sydney harbour bridge. simply awesome! team newoffice work celebration"
2564,10,0.33261374,"next week, love is in the air again, because well be at another trade show: the all4pack! and where? fittingly, of course, in the city of love - paris. from 21 to 24 november, well be showing you our passion for our proven filling and packaging equipment, as well as our latest solutions for productivity and sustainability on 130 square meters. we would be happy to see you at our booth 5a!"
2565,1,0.3290762,the minneapolis based town hall brewery partnered with w.m. sprinkman llc (a member of the krones group) to renew its old brewing equipment to be able to keep its hands-on approach during different brewing processes. by using a more efficient infrastructure the brewery can now save valuable resources like water while using the same amount of space as usually. find out more details about the upgrade in this video! 
2566,10,0.31346315,"if you can see the satisfaction on the faces of our employees, we are more than happy! many thanks to team saudi arabia for this cheerful insight into your everyday working life! if you, too, would now like to become part of the worldwide krones family, you can take a look at our applicant portal. there you will find a wide range of jobs in various specialist areas with different entry levels: "
2567,10,0.33339718,all4pack in paris is starting today! we will be there until november 24 to present our newest solutions in our portfolio and are really looking forward to welcoming you at our booth in hall 5a! come and see for yourself!
2568,11,0.2932033,"in order to remain successful in a world in which new business models, increasing automation and digitalization are constantly and fundamentally changing the framework conditions, krones is focusing, among other things, on expanding the skills and knowledge of its employees. one way to do this is to further expand international relations within krones around the globe. norbert broger, cfo, and uta anders, head of controlling, accounting and taxes, initiated an exchange programme together with pawinee ariyamongkolchai, asia pacific regional cfo, at the beginning of the year: for two months, two talents from krones controlling team swapped jobs and locations. benjamin böck, head of regional controlling asia pacific, moved from bangkok to neutraubling and benedikt ott, head of business unit controlling bottling & packaging equipment, from neutraubling to bangkok. a deeper insight and more details about the internal exchange programme at krones can be found in our new magazine article. enjoy reading! work international team "
2569,1,0.29381034,milk in glass bottles is the latest trend! but how sustainable is this packaging method? the milchwerke berchtesgadener land chiemgau eg has been awarded the reusable systems innovation prize of the german environmental association deutsche umwelthilfe and the stiftung initiative mehrweg for its new krones glass line. a good opportunity to use this example to examine the factors that influence packaging in terms of sustainability in our latest magazine article: 
2570,11,0.3152441,"krones southern africa is getting a new office and warehouse building at lanseria corporate estate in johannesburg, south africa. the new facility will enable ksa to further support the growth plans of its existing customers and expand into new markets. ground was broken on 18 november 2022! team office warehouse southafrica"
2571,1,0.24723573,"whether white spirit, brandy, or soju, the products of tawandang brewery 1999 are considered a trend in the thai market. to expand its capacities, the successful distillery is now building a new plant - and equipping it with three filling lines and packaging technology from krones. read more about the project in our newest magazine article: "
2572,11,0.38597205,"thank you for sharing benjamins experience with us. we can never get enough of the stories of our krones family members - we simply love it! you do, too? then youd best take a look right here and become part of our team: "
2573,10,0.22180168,"a quick reminder: without well-protected it, you will not be able to work in a future-proof way! hand in hand with digitalization, we at krones are paving the way for a safe production process, whether for new or existing systems! cybersecurity itsecurity "
2574,11,0.27287495,traditional brewing craft and being open to future-oriented innovations do not exclude each other! brauerei bischofshof gmbh & co. kg has opted for a new krones dry end in order to be able to work more economically and efficiently in the future. read how krones and bischofshof were able to master this challenging task together in our latest magazine article! brewery cooperation project 
2575,11,0.33602598,"We are looking for a communication designer (m/f/d)!We are looking for a new member of our team for the development of communication campaigns and the derivation, design and implementation of relevant communication blocks of a campaign.In this position limited for one year, both the further development of existing communication elements, e.g.of the corporate design and corporate identity, as well as pure drawing and image processing into the area of responsibility.Furthermore, the design of trade fair appearances and correspondence with external agencies, service providers as well as Krones subsidiaries and branches belongs to the TO DOS of a communication designer (m/f/d) at Krones.The position is to be filled in Neutraubling, there are ways to work mobile.Anyone who has fancy a new professional challenge in the area of company communication can follow the link and apply directly.All further information is also available in the applicant portal.We look forward to numerous applications!"
2576,1,0.30079702,"do you know purecycle technologies? the recycling technology company from orlando produces ultra-pure recyclate from used polypropylene plastics and aims to revolutionize this process with the help of krones technology! for this purpose, four krones polypropylene metapure wash lines and two hydrocircle systems are to be installed at their site. discover more about this innovative project in our latest magazine article: "
2577,11,0.2760446,"last week, our colleagues from guatemala met to celebrate christmas with the entire office. after two years of virtual meetings, they were finally able to gather most of their growing field service team together and talk face-to-face again without any restrictions. this year, the theme of the christmas party was ""ugly sweaters!"" which one is your favorite (ugly) sweater? krones team"
2578,10,0.23383026,"craft beer fans listen up! china in particular has seen a trend towards premium beer and beer with special flavours in recent years. with the new craft beer garden in qindao, tsingtao brewery co., ltd has taken this opportunity to create an unforgettable paradise for enthusiasts! more stunning footage and how krones was involved: "
2579,10,0.36493036,"steinecker has set the goal of making the botec process control system fit for the future through innovative new features and further development. learn more about this project and what the name ""botec"" actually stands for in our latest magazine article! steineckerprocessing digital"
2580,11,0.28534833,"team building at krones! recently, an outdoor event took place in dubai for some of our employees. divided into smaller groups, each had to complete several teambuilding activities, a mix of physical activity with smart and quick thinking. at the end of the event, a bbq style dinner was held - dirty but very happy! you also want to be part of a great team at work? then just take a look at our career page: "
2581,10,0.25503778,cactus instead of christmastree: in arizona (usa) a krones canning line has arrived safely packed and in time for christmas! this is how we imagine the perfect pre-christmas season. are you also preparing for the upcoming holidays? write us about it in the comments! machinery beverageindustry insight
2582,10,0.265247,"low energy consumption and reduced demands on personnel are the benefits of our ergobloc technology that convinced majed bakheet al nazzawi, owner of azbah water, to make a new investment in krones. read more about the project in medina in our latest magazine article: "
2583,1,0.27494848,have you ever wondered how oil finds its way into the bottle? ajyal for food industries is taking this step in the future in a new factory equipped with a pet filling line supplied by krones. read more details about the actual setup in our latest magazine article! 
2584,10,0.24984494,we at krones wish you all a very merry christmas and happy holidays! enjoy this time of the year so you can start fresh and energetic into the new one! merrychristmas
2585,10,0.28614235,a new year is just around the corner! it is time to think about our resolutions for the coming year. one of our goals is and will remain the responsible use of packaging materials. are you ready to be part of the journey? lets go beyond tomorrow in 2023! 
2586,10,0.28288046,we at krones hope you had a wonderful new years eve and wish you a great start into the new year 2023! 
2587,10,0.33473942,"new year, new... ... professional opportunities, innovative ideas, forward-looking visions and missions! together, we at  can continue to achieve great things in 2023, realise our customers wishes and help people and the environment with our solutions. how can we reach all this? with creative teamwork and individual performance in our krones family, of course. are you the right match for this? then become part of our team and shape the future together with us: "
2588,1,0.45082483,"only materials like pet and glass can be recycled? youd be wrong: in the production of beverages and liquid food, even in the recycling itself, one resource is immensely important - water! for example, did you know that between one and three litres of waste water are generated per litre of beer? not exploiting such a valuable source of raw materials is out of the question for us at , including krones hydronomic. our water treatment system is equipped with sophisticated technologies and, due to a modular system, offers the right solution for your own needs. are you interested in resource conservation of all kinds? then take a closer look at our krones technology for people and the environment here: "
2589,10,0.22041655,"not only the physicists among us know: energy does not simply disappear again, it is only converted from one form into another. so why not simply use it several times over and thus save natural resources? this is exactly what we at . the reduced consumption of resources and electricity not only benefits the environment - our customers wallets can also profit immensely! find out more here: "
2590,10,0.23529543,at 
2591,1,0.27979943,the devil is in the detail! perhaps no one knows this better than our linatronic ai: it is the first of its kind in the world to inspect glass and pet containers before they reach the filler. whats so special about it? it is equipped with an artificial neural network that has been trained for maximum precision using deep learning. this enables the  as much as we do? then this way: 
2592,1,0.2791522,"are you thinking about how we deal with packaging materials? at , there is probably not a day that goes by that we dont do so. ensuring responsible handling of packaging - thats our goal! inevitably, one thing comes up again and again: rpet. we see ""recycled material"" not as a description of the material, but as an identification of the origin. because recycled material behaves differently from new material, there are a few things to consider when switching to recycled pet preforms in production. in order not to lose track of everything from the blowing process to the packaging design and to get the optimal result, we offer the rpet implementation. the multi-part cooperation is based on practical relevance, knowledge exchange and close communication - everything for an individual introduction of recycled pet into already existing productions! you can find out exactly how the implementation works here: "
2593,1,0.31215572,"beverage producer kliafa from greece has been delighting customers with various soft drinks since 1926. with the help of , the company can now fill its products not only in glass but also in pet bottles in an aseptic process. thanks to the safety ensured, kliafa can avoid the use of preservatives in the filling procedure. the new aseptic pet line includes many other advantages, for example a maintenance contract: a guarantee of excellent operation and sterility. more details can be found in our latest magazine article: "
2594,1,0.33988914,"for the 4th time now, the austrian company  has opted for a canning line from . the special feature: the companys frankenmarkt facility works exclusively with krones filling lines! four canning lines, one glass line and one pet line form part of the equipment. more details can be found in our latest magazine article: "
2595,11,0.25636455,"on the way to the perfect bottle mass index: some of you may already know that we have set ourselves the goal of a responsible use of packaging materials. how do we want to achieve this? there is no panacea for this, but many small and big ideas and solutions from our krones family... our  specialists prove how much can be achieved with one goal in mind - because every gram of material saved makes a difference in ecological and economic terms! you can find out more about this here: "
2596,10,0.22087148," is cambodias number one producer of beer and other beverages. despite the pandemic and strong competitors, they have been able to defend their market position. with the help of new  lines, they are now expanding their capacities. more details in our latest magazine article: "
2597,10,0.22810031,新春快乐 were wishing all of you celebrating a happy chinese new year! 🐉 2023 is the year of the rabbit representing hope and life for a long time! 🐇🏮 
2598,10,0.22127633,"chúc mừng năm mới 🏮💮 happy vietnamese new year! today marks the beginning of the year of the cat, which stands for good weather and prosperous harvests! 😻 "
2599,1,0.26755497,"food waste is an ongoing problem in many countries around the world. but there can also already be potential for savings in the processing of raw materials. one of our  is aimed precisely at this and can be found in the brewing process: steinecker hopnomic! without any loss of quality in terms of intensity and bitterness, up to 30 % less hops are required in the brewing process - a gain in terms of raw material conservation and operating costs with the result of a great-tasting beer! are you curious how this works? then this way: "
2600,10,0.29036707,"Attention studies, we have a special concern for our team on our own behalf: a job as a work student \ (m/f/d \) in web development!You support us especially in setting up the photo and video manager Akamei to automatically optimize and improve visual media for every user of our websites of the "
2601,10,0.27611625,"something planned for the beginning of february? well, if not, weve got an idea for you: . have we sparked your interest? then visit us at our booth 4h-fp-g-03 in hall 4."
2602,1,0.23794775,"this is what evolution looks like – all three versions of our contiflow next to each other. the tried and tested platform gets a container-capable and maintenance-friendly redesign as well as a new chmi. based on this platform, the new standard of the most efficient way to produce and fill carbonated beverages is being created - the integrated unit modulfill vfs-m. "
2603,1,0.32700223,"recycling boost in india? we are ready! just under a year ago, indias ministry of environment published new guidelines for plastic packaging. they are part of the comprehensive extended producer responsibility \(epr\) program and set increasing minimum quotas – both for recycling plastic waste and for the recycled content in new plastic packaging. one example of the targets set forth therein: by 2028, rigid plastic packaging should consist of at least 60 percent recyclate. thats pretty ambitious – can it be achieved? we think so: with the right recycling technology and tried-and-tested processes, definitely. at plastindia, well be happy to tell you why and how krones can help. we are already looking forward to the trade fair – and above all to a lively exchange on the subject of building a strong circular economy. see you in new delhi from february 1 to 5! "
2604,10,0.22855565,"in 2004, an aseptic four-colour filler was first installed at . today, over 15 years and 100,000 operating hours later, the krones line is still in excellent condition, thanks to our ongoing maintenance concept. when an expansion of the aseptic capacities was due in 2019, we once again came up with a prototype - and sachsenmilch struck again. this time it was the latest development of the dry-aseptic blow-moulder/filler block: the contipure aseptbloc da! also on board: a sleevematic and a variopac pro t. more detailed information and beautiful landscapes can be found in our latest magazine article: "
2605,10,0.32867673,today  starts in new delhi! until february 5 we will be there for you in hall 4 booth 4h-fp-g-03 and we are looking forward to seeing many of you! definitely come by and visit us. you can register here: 
2606,1,0.22155929,"as one of the first factories worldwide,  is setting a good example: its bottling plant in the port of rotterdam is completely co2 neutral, proving that a successful company can also act in a responsible way. with four pet lines, krones is part of this important project. more details can be found in our latest magazine article: "
2607,1,0.24332169,plastindia 2023 ended yesterday as a complete success - but for us it doesnt stop with... ... the focus on recycling. ... cool insights into our recycling competences. ... exciting information as well as great pictures and videos about the packaging cycle. sounds interesting to you? then dont miss out and become part of our focus page ! plastindia2023 recycling circulareconomy solutionsbeyondtomorrow
2608,1,0.37603515,"""it won’t be possible to feed all of the world’s population with animal-based foods alone in the long term,” – stefan höller, head of product management processing unit at krones. how do we deal with this? by providing solutions for the production of plant-based alternatives, of course - because this not only brings us closer to our goal of ensuring the feeding of the worlds population, but also helps new and experienced companies on the plant-based beverage market to achieve their own goals. we focus on the production of oat drinks and offer three different process variants for this. thanks to the expertise and close cooperation of krones, milkron and steinecker, anything is possible: from a lightning start in plant-based drinks business to a high-end version! you can find out here which technologies and process steps are hidden behind them: "
2609,10,0.23626046,"as long as it flows, we get it filled! whether its blending or transport, krones covers every processing step individually for each client. in the process, we remain true to our goal of offering flexible and environmentally friendly solutions. more details and why ketchup is better portioned from an oval-shaped bottle can be found in our latest magazine article: "
2610,10,0.25679716,"four development stages, four facts about... the newest generation of our krones contiform: ... it has a modular design and can thus be individually equipped according to requirements. ... with high-pressure air savings of up to 20 per cent, it shines compared to its predecessor generation. ... thanks to clever skip-and-run technology, it continues to operate with maximum reliability and even more trouble-free than before. ... and last but not least: as a proud bearer of the enviro seal, it scores points with many other features for eco-efficient production in addition to reduced heating energy consumption. find out here what these are and what else our high-performance stretch blow-moulding machine has to offer: "
2611,10,0.2862827,"valentines day + wine = perfect combo! fittingly, enomaq2023, the international trade fair where everything revolves around wine, starts in zaragoza, spain on february 14! on a total area of 66 square meters we will show you what we have in our product portfolio especially for the filling and packaging of wine. want to meet us? your date with us will take place in hall 8, booth g-h 13-14. we cant wait!"
2612,11,0.25871664,"welcome to our production site in neutraubling! we are gladly welcoming visitors from  these days. the long-time customer is here for the factory acceptance test of his fifth krones line and is checking out the ergobloc, which will soon be on its way to his production line. great to have you here, we especially appreciate the presence of mr and mrs teli. solutionsbeyondtomorrow ergobloc"
2613,10,0.23643082,"and here we are, at enomaq2023! we are super motivated and very much looking forward to meeting many of you and presenting our solutions in the field of filling and packaging of wine. be sure to stop by our booth g-h 13-14 in hall 8 today from 10 am to 6 pm! see you later! krones kronesprocessingsolutions"
2614,1,0.20125423,"processing 80,000 containers per hour, a filling process in 0.5 seconds and filling and capping in just one functional unit - these are the amazing key data of the krones dynafill! besides reduced co2 consumption and a 50 % smaller footprint compared to conventional systems, it also looks incredibly cool. you agree, dont you? more breathtaking details on the king of beer bottling can be found here: "
2615,1,0.4444761,"one of the main factors for high-quality wine is definitely its clarity. and this is exactly what our krones unipure filtration system for wine, sparkling wine and fruit sparkling wine ensures. and what is particularly important for winemakers to give their product its own, very special taste: flexibility in production! we work together with the most popular manufacturers of filter elements and housings and configure the ideal filter for you - individually tailored to your needs. moreover, thanks to two redundantly running filter lines, one line is always available for production while the other is being cleaned or rinsed. another special feature of unipure is that product losses during filter conditioning are avoided thanks to a reworktank. here, the product is not discarded as usual when conditioning the filters, but can be collected and reused. this minimises product losses and reduces production costs. unipure is therefore not just a solution for filtration per se, but a complete solution from a single source. are you curious? then come and visit us at enomaq2023 at our booth g-h 13-14 in hall 8. kronesprocessing solutionsbeyondtomorrow"
2616,2,0.21434078,"we have won! the german design award... two times! at this years german design award special 2023 in the category excellent product design industry, we won twice: for the new generation of the contiform stretch blow-moulding machine and for the mobile production robotics system for their superior design! congratulations and compliments for the terrific work to all involved. you can find more details here: "
2617,1,0.2515768,"you can achieve a lot in just one year - we proved that in partnership with ! in 2020 and 2021, krones delivered six bottling lines and two water treatment systems to the two new production facilities. more details on the concrete installation can be found in our latest magazine article: "
2618,1,0.25032657,"whether enjoying a glass of wine with friends in the evening or toasting a milestone with champagne together with your loved ones - spirits are usually drinks for special moments. and these drinks deserve only the best process technology systems! we will be happy to tell you more about our krones process technology solutions in person at enomaq2023 in zaragoza, spain. there, our experts will answer your questions about wine and oil at booth g-h 13-14 in hall 8. by the way, this also applies to our subsidiaries . kronesprocessing solutionsbeyondtomorrow"
2619,1,0.19405307,"a brewery that is self-sufficient in energy and co2-neutral sounds like fiction? but its not, as steinecker brewnomic proves! the principle of the brewery: it combines proven brewing technology with resource-saving media supply and does so in modular building blocks that can also be integrated into existing breweries. by recycling residual materials from the brewing process, recovering thermal energy and using alternative energy sources, brewnomic not only offers enormous savings potential in economic terms - rather, together with brewers, we can use it to try to make a contribution to curbing climate change and meet our target vision. here we show you which technologies are behind the ""brewing power station"": "
2620,2,0.20826522,"our krones linaflex in just one word: flexible! because with a fully automatic product changeover in just a few minutes and no less than three different machine variants, the tunnel pasteuriser lives up to its name. it also impresses with numerous advantages in terms of energy savings, with energy consumption reduced by up to 20 per cent during heating and an optimised water volume thanks to integrated zone tanks! what else does the linaflex have to offer? find out here: "
2621,1,0.32390484,"beer and cellulose - the dream couple par excellence! how do we come up with this? to ensure that we live up to our vision and make our contribution to curbing climate change, the wise use of resources is right at the top of our agenda. thats why our solutionsbeyondtomorrow can be found not only in clever machine solutions but also in seemingly small things, like the kic krones filter aid for beer filtration krones celcare. based on cellulose - a natural, renewable raw material - the product is classified as biowaste after use and is thus not subject to any restrictions on further recycling or field application. we probably dont need to mention that excellent filtration results are achieved in the process. want to know more about the ecological and economic advantages? then this way: "
2622,1,0.3005848,"a reduction in co2 consumption of 20 %, 40 % less product water consumption and 31.5 % less waste water - these values probably make not only the hearts of all number lovers beat faster! how and where is this possible? by making optimum use of all the savings potential in a returnable glass line for beer: enviro individual machines and optimisation of the oem machines are just two components of the harmonious and powerful overall solution. you can find out more about the individual, efficient design of such a line here: "
2623,11,0.25126505,"based on the preliminary figures for 2022, krones significantly improved all financial key performance indicators compared to the previous year and met or exceeded its targets. despite difficult conditions, revenue increased in 2022 by 15.8% year on year, from €3,634.5 million to €4,209.3 million. krones thus exceeded the upgraded growth target of 10% to 12% published in october 2022 \(original target 5% to 8%\). "
2624,10,0.31451955,we got something picturesque: a classic black-and-white photo from our headquarters in neutraubling. many thanks for it! what connects you with krones? tell us in the comments! bepartofkrones photography
2625,1,0.2285568,"once again the prc2023, , is taking place in washington, dc! and of course we will be there to showcase our pet and po container recycling solutions. no matter what you expect from your primary or secondary packaging and its production: we accompany the entire life cycle of packaging and offer you the appropriate solution in each case. learn more and visit us on the exhibit floor from march 6 to 8!"
